N,D,sigma,tau,omega,Cp*
2,4,0.54,0.2100,0.300000,0.375502
3,2,0.26,0.1200,0.700000,0.375488
2,2,0.26,0.2100,0.600000,0.375366
3,3,0.26,0.2100,0.600000,0.375366
4,4,0.26,0.2100,0.600000,0.375366
4,1,0.36,0.1200,0.566667,0.374782
2,1,0.26,0.1500,0.633333,0.374708
4,2,0.26,0.1500,0.633333,0.374708
3,1,0.54,0.1800,0.366667,0.37457
3,2,0.72,0.2100,0.266667,0.374114
3,1,0.26,0.2100,0.400000,0.374079
4,1,0.18,0.1200,0.633333,0.373972
4,1,0.18,0.1800,0.600000,0.373873
2,4,0.26,0.1200,0.733333,0.373789
2,4,0.18,0.2100,0.700000,0.373766
3,1,0.18,0.2100,0.566667,0.373611
4,3,0.72,0.2100,0.266667,0.37355
2,1,0.26,0.1500,0.666667,0.37351
4,2,0.26,0.1500,0.666667,0.37351
3,3,0.72,0.1800,0.500000,0.373236
4,3,0.26,0.1800,0.666667,0.372894
2,3,0.26,0.1800,0.333333,0.372817
4,1,0.26,0.2100,0.533333,0.372644
2,4,0.26,0.1800,0.633333,0.37258
2,4,0.26,0.1500,0.666667,0.372337
3,2,0.36,0.2100,0.333333,0.371993
2,3,0.72,0.1200,0.333333,0.371378
2,2,0.36,0.1200,0.400000,0.371364
3,3,0.36,0.1200,0.400000,0.371364
4,4,0.36,0.1200,0.400000,0.371364
3,2,0.54,0.1500,0.333333,0.371235
4,3,0.36,0.1500,0.566667,0.371053
3,1,0.36,0.1200,0.533333,0.370747
2,1,0.54,0.1500,0.400000,0.370585
2,3,0.18,0.1500,0.400000,0.370585
2,3,0.54,0.1500,0.300000,0.369778
3,1,0.18,0.1200,0.633333,0.369713
2,1,0.26,0.2100,0.400000,0.369467
4,2,0.26,0.2100,0.400000,0.369467
2,1,0.26,0.1800,0.633333,0.36908
4,2,0.26,0.1800,0.633333,0.36908
3,4,0.26,0.1800,0.333333,0.36895
2,3,0.26,0.1200,0.733333,0.368279
3,1,0.18,0.1800,0.600000,0.368218
2,4,0.18,0.1200,0.433333,0.367439
3,4,0.18,0.1800,0.700000,0.367245
3,4,0.36,0.1500,0.333333,0.367229
2,4,0.54,0.1800,0.300000,0.366968
3,2,0.72,0.1500,0.300000,0.366805
4,3,0.72,0.1800,0.266667,0.366634
4,2,0.26,0.1200,0.633333,0.366453
2,4,0.36,0.1800,0.600000,0.366184
3,2,0.54,0.2100,0.433333,0.36542
2,4,0.36,0.1500,0.600000,0.365318
2,4,0.36,0.1200,0.600000,0.364919
3,4,0.18,0.1500,0.733333,0.364402
2,1,0.54,0.1800,0.433333,0.364361
4,2,0.54,0.1800,0.433333,0.364361
3,2,0.72,0.1800,0.266667,0.363973
2,4,0.36,0.2100,0.566667,0.363891
2,2,0.72,0.1200,0.333333,0.363717
3,3,0.72,0.1200,0.333333,0.363717
4,4,0.72,0.1200,0.333333,0.363465
2,2,0.18,0.1500,0.700000,0.363441
3,3,0.18,0.1500,0.700000,0.363441
4,4,0.18,0.1500,0.700000,0.363441
4,3,0.26,0.1200,0.700000,0.363131
2,1,0.26,0.1200,0.533333,0.36299
2,1,0.18,0.1200,0.633333,0.362701
4,2,0.18,0.1200,0.633333,0.362701
3,4,0.36,0.1200,0.600000,0.362631
2,1,0.18,0.2100,0.566667,0.362627
4,2,0.18,0.2100,0.566667,0.362627
2,3,0.26,0.1200,0.400000,0.362477
4,1,0.36,0.1200,0.466667,0.362473
3,4,0.18,0.1200,0.766667,0.362383
2,1,0.72,0.1800,0.366667,0.362377
3,2,0.54,0.1200,0.366667,0.362262
3,2,0.36,0.1500,0.566667,0.362228
2,2,0.18,0.1800,0.666667,0.362184
3,3,0.18,0.1800,0.666667,0.362184
4,4,0.18,0.1800,0.666667,0.362184
2,3,0.26,0.2100,0.633333,0.362002
4,1,0.72,0.1800,0.333333,0.361838
2,3,0.36,0.1200,0.600000,0.361667
2,2,0.26,0.1800,0.666667,0.36151
3,3,0.26,0.1800,0.666667,0.36151
4,4,0.26,0.1800,0.666667,0.36151
3,1,0.26,0.2100,0.533333,0.361392
4,2,0.72,0.1800,0.366667,0.361284
2,2,0.36,0.2100,0.600000,0.360674
3,3,0.36,0.2100,0.600000,0.360674
4,4,0.36,0.2100,0.600000,0.360674
4,3,0.18,0.1500,0.700000,0.360665
4,3,0.72,0.1200,0.333333,0.360437
2,3,0.36,0.2100,0.600000,0.360216
2,2,0.26,0.1500,0.700000,0.360176
3,3,0.26,0.1500,0.700000,0.360176
4,4,0.26,0.1500,0.700000,0.360176
2,2,0.72,0.1800,0.266667,0.360168
4,4,0.72,0.1800,0.266667,0.360168
2,3,0.26,0.1800,0.666667,0.360002
2,3,0.54,0.1800,0.466667,0.359887
2,4,0.72,0.2100,0.300000,0.35959
2,3,0.18,0.1800,0.700000,0.359342
3,4,0.36,0.2100,0.300000,0.358988
2,4,0.36,0.1200,0.366667,0.358875
3,4,0.18,0.2100,0.700000,0.358636
2,4,0.72,0.1800,0.300000,0.358533
4,3,0.26,0.1800,0.366667,0.358058
2,2,0.36,0.2100,0.300000,0.357983
3,3,0.36,0.2100,0.300000,0.357983
4,4,0.36,0.2100,0.300000,0.357983
2,1,0.26,0.2100,0.566667,0.357972
4,2,0.26,0.2100,0.566667,0.357972
3,4,0.54,0.1200,0.466667,0.357944
2,1,0.18,0.1800,0.600000,0.357391
4,2,0.18,0.1800,0.600000,0.357391
2,4,0.18,0.1500,0.733333,0.357046
2,4,0.26,0.1800,0.333333,0.356941
3,1,0.54,0.1500,0.366667,0.356874
2,4,0.26,0.2100,0.333333,0.356669
4,1,0.26,0.1800,0.566667,0.356514
3,2,0.18,0.1200,0.633333,0.356406
2,1,0.54,0.1800,0.300000,0.356067
4,2,0.54,0.1800,0.300000,0.356067
4,2,0.26,0.1200,0.666667,0.355577
4,3,0.18,0.1200,0.733333,0.355556
3,4,0.26,0.1800,0.666667,0.355115
2,2,0.36,0.1200,0.600000,0.35501
3,3,0.36,0.1200,0.600000,0.35501
4,4,0.36,0.1200,0.600000,0.35501
4,1,0.26,0.1800,0.400000,0.354978
4,1,0.18,0.1500,0.633333,0.354811
2,1,0.72,0.1500,0.366667,0.35456
4,2,0.72,0.1500,0.366667,0.35456
2,1,0.36,0.1800,0.366667,0.354251
4,2,0.36,0.1800,0.366667,0.354251
4,3,0.26,0.2100,0.366667,0.354166
3,1,0.36,0.1200,0.566667,0.354153
3,4,0.36,0.1800,0.300000,0.35408
4,1,0.26,0.1200,0.566667,0.354005
2,3,0.36,0.1800,0.600000,0.353876
3,3,0.54,0.1800,0.600000,0.353876
2,1,0.54,0.1500,0.733333,0.353819
2,3,0.18,0.1500,0.733333,0.353819
2,4,0.26,0.2100,0.633333,0.353748
2,4,0.18,0.1200,0.766667,0.353712
3,4,0.26,0.2100,0.633333,0.353029
2,3,0.36,0.1500,0.600000,0.352661
2,2,0.18,0.2100,0.400000,0.352432
3,3,0.18,0.2100,0.400000,0.352432
4,4,0.18,0.2100,0.400000,0.352432
4,1,0.26,0.1500,0.566667,0.35236
2,2,0.18,0.1200,0.733333,0.352284
3,3,0.18,0.1200,0.733333,0.352284
4,4,0.18,0.1200,0.733333,0.352284
2,3,0.18,0.2100,0.700000,0.352134
2,2,0.72,0.2100,0.266667,0.35213
3,3,0.72,0.2100,0.266667,0.35213
4,4,0.72,0.2100,0.266667,0.35213
3,2,0.18,0.2100,0.566667,0.352121
3,2,0.26,0.2100,0.600000,0.351964
4,2,0.26,0.1200,0.700000,0.351796
2,3,0.18,0.1200,0.766667,0.351615
3,2,0.54,0.1200,0.466667,0.351463
3,4,0.18,0.1500,0.400000,0.351295
3,4,0.26,0.1200,0.400000,0.351192
4,2,0.26,0.1200,0.466667,0.351022
2,3,0.72,0.2100,0.400000,0.350478
3,1,0.36,0.1200,0.466667,0.350213
3,1,0.18,0.1500,0.633333,0.349803
4,3,0.18,0.1800,0.666667,0.34968
2,2,0.36,0.1800,0.300000,0.349584
3,3,0.36,0.1800,0.300000,0.349584
4,4,0.36,0.1800,0.300000,0.349584
4,3,0.26,0.2100,0.600000,0.349519
2,3,0.54,0.1200,0.466667,0.349339
2,2,0.18,0.1800,0.400000,0.349297
3,3,0.18,0.1800,0.400000,0.349297
4,4,0.18,0.1800,0.400000,0.349297
3,1,0.26,0.1800,0.400000,0.349258
2,4,0.26,0.1500,0.700000,0.349026
2,3,0.36,0.1800,0.300000,0.348706
3,3,0.54,0.1800,0.300000,0.348706
2,4,0.18,0.2100,0.366667,0.348542
3,1,0.26,0.1800,0.566667,0.34804
2,1,0.36,0.2100,0.366667,0.348018
4,2,0.36,0.2100,0.366667,0.348018
3,1,0.54,0.1200,0.433333,0.347468
2,3,0.36,0.2100,0.300000,0.347399
3,2,0.18,0.1800,0.600000,0.347153
2,1,0.72,0.1800,0.266667,0.347034
4,2,0.72,0.1800,0.266667,0.346706
3,1,0.26,0.1200,0.566667,0.346498
3,4,0.26,0.1200,0.733333,0.346256
2,1,0.26,0.1800,0.400000,0.34624
4,2,0.26,0.1800,0.400000,0.34624
2,4,0.18,0.1800,0.366667,0.345448
3,1,0.26,0.1500,0.566667,0.345086
2,4,0.72,0.1500,0.300000,0.34477
4,1,0.26,0.2100,0.566667,0.344741
2,4,0.26,0.1800,0.666667,0.344398
2,4,0.18,0.1800,0.733333,0.344253
2,2,0.54,0.2100,0.466667,0.343306
3,3,0.54,0.2100,0.466667,0.343306
4,4,0.54,0.2100,0.466667,0.343306
4,3,0.18,0.1200,0.466667,0.343293
4,3,0.18,0.2100,0.633333,0.342978
2,4,0.36,0.2100,0.600000,0.341367
2,2,0.54,0.1500,0.300000,0.341007
3,3,0.54,0.1500,0.300000,0.341007
4,4,0.54,0.1500,0.300000,0.341007
4,3,0.36,0.1200,0.400000,0.340616
3,4,0.54,0.1500,0.466667,0.340499
3,2,0.72,0.1200,0.333333,0.340346
2,1,0.18,0.1500,0.633333,0.340319
4,2,0.18,0.1500,0.633333,0.340319
4,1,0.72,0.2100,0.333333,0.339928
4,1,0.54,0.2100,0.400000,0.339728
4,3,0.18,0.1500,0.733333,0.339706
2,1,0.36,0.2100,0.533333,0.338823
4,2,0.36,0.2100,0.533333,0.338823
3,4,0.36,0.1500,0.600000,0.338456
2,4,0.72,0.1200,0.400000,0.337717
2,2,0.26,0.2100,0.633333,0.337542
3,3,0.26,0.2100,0.633333,0.337542
4,4,0.26,0.2100,0.633333,0.337542
3,4,0.18,0.1200,0.800000,0.337471
2,3,0.18,0.2100,0.366667,0.337081
4,1,0.36,0.2100,0.400000,0.336509
4,2,0.72,0.2100,0.266667,0.335552
3,2,0.72,0.1200,0.366667,0.335156
3,4,0.36,0.2100,0.600000,0.334787
4,1,0.26,0.1200,0.433333,0.334208
4,3,0.54,0.2100,0.266667,0.334165
2,1,0.72,0.1200,0.333333,0.333915
4,2,0.72,0.1200,0.333333,0.333915
2,2,0.18,0.2100,0.666667,0.333904
3,3,0.18,0.2100,0.666667,0.333904
4,4,0.18,0.2100,0.666667,0.333904
2,4,0.54,0.1500,0.300000,0.333756
3,4,0.18,0.1500,0.766667,0.333583
2,2,0.26,0.1500,0.366667,0.333571
3,3,0.26,0.1500,0.366667,0.333571
4,4,0.26,0.1500,0.366667,0.333571
4,3,0.18,0.1500,0.433333,0.333531
2,2,0.18,0.1500,0.733333,0.333397
3,3,0.18,0.1500,0.733333,0.333397
4,4,0.18,0.1500,0.733333,0.333397
4,3,0.36,0.1800,0.566667,0.333224
4,1,0.18,0.1200,0.466667,0.332775
4,3,0.18,0.1200,0.766667,0.332465
2,1,0.54,0.2100,0.300000,0.332346
4,2,0.54,0.2100,0.300000,0.332346
2,4,0.18,0.2100,0.733333,0.332085
3,4,0.54,0.1800,0.466667,0.331982
3,4,0.18,0.1800,0.733333,0.331597
3,2,0.18,0.1500,0.633333,0.331336
3,1,0.26,0.2100,0.566667,0.331243
2,3,0.26,0.1800,0.700000,0.330971
2,3,0.18,0.1800,0.366667,0.330831
2,3,0.54,0.1500,0.466667,0.330744
2,1,0.26,0.2100,0.600000,0.330671
4,2,0.26,0.2100,0.600000,0.330671
3,4,0.36,0.1800,0.600000,0.33066
2,1,0.54,0.2100,0.433333,0.330379
4,2,0.54,0.2100,0.433333,0.330379
2,2,0.54,0.2100,0.266667,0.330189
3,3,0.54,0.2100,0.266667,0.330189
4,4,0.54,0.2100,0.266667,0.330189
2,2,0.54,0.1800,0.466667,0.330173
4,4,0.54,0.1800,0.466667,0.330173
2,4,0.18,0.1200,0.800000,0.330137
2,3,0.72,0.1200,0.400000,0.32996
4,1,0.72,0.1500,0.333333,0.329877
4,1,0.18,0.2100,0.600000,0.329862
4,2,0.54,0.1500,0.333333,0.329735
3,1,0.72,0.1800,0.300000,0.329718
2,1,0.26,0.1200,0.566667,0.329619
2,3,0.26,0.2100,0.666667,0.329487
2,1,0.36,0.1500,0.566667,0.329358
4,2,0.36,0.1500,0.566667,0.329358
3,4,0.72,0.1800,0.266667,0.329191
3,1,0.72,0.1500,0.366667,0.328731
2,2,0.54,0.1800,0.266667,0.328559
4,4,0.54,0.1800,0.266667,0.328559
2,3,0.36,0.1200,0.366667,0.328528
4,1,0.26,0.1800,0.600000,0.328516
3,1,0.72,0.2100,0.300000,0.328071
2,2,0.26,0.1800,0.333333,0.327727
3,3,0.26,0.1800,0.333333,0.327727
4,4,0.26,0.1800,0.333333,0.327727
2,4,0.18,0.1500,0.766667,0.327545
2,2,0.26,0.1800,0.700000,0.327476
3,3,0.26,0.1800,0.700000,0.327476
4,4,0.26,0.1800,0.700000,0.327476
2,2,0.36,0.1500,0.333333,0.327177
3,3,0.36,0.1500,0.333333,0.327177
4,4,0.36,0.1500,0.333333,0.327177
3,1,0.18,0.1200,0.466667,0.326996
2,3,0.18,0.1200,0.433333,0.326882
3,4,0.36,0.1200,0.366667,0.326827
4,3,0.54,0.1800,0.266667,0.326292
2,3,0.18,0.1200,0.800000,0.326073
3,1,0.36,0.2100,0.400000,0.325809
3,4,0.72,0.2100,0.266667,0.325677
3,2,0.36,0.1800,0.566667,0.325474
2,2,0.26,0.2100,0.333333,0.32521
3,3,0.26,0.2100,0.333333,0.32521
4,4,0.26,0.2100,0.333333,0.32521
4,2,0.26,0.1200,0.433333,0.324873
4,1,0.36,0.1800,0.400000,0.324471
4,1,0.18,0.1500,0.433333,0.323941
2,2,0.18,0.1800,0.700000,0.323782
3,3,0.18,0.1800,0.700000,0.323782
4,4,0.18,0.1800,0.700000,0.323782
2,4,0.26,0.1500,0.733333,0.323728
3,1,0.72,0.1800,0.466667,0.323363
3,2,0.26,0.1800,0.666667,0.323335
4,1,0.26,0.1200,0.466667,0.323313
3,1,0.18,0.2100,0.600000,0.323258
2,3,0.18,0.1800,0.733333,0.323152
2,1,0.54,0.1500,0.766667,0.323091
2,3,0.18,0.1500,0.766667,0.323091
4,1,0.18,0.1800,0.633333,0.322567
4,1,0.18,0.1200,0.666667,0.32256
2,4,0.36,0.1800,0.300000,0.322337
3,1,0.26,0.1200,0.466667,0.322194
3,4,0.26,0.1800,0.700000,0.322135
2,2,0.18,0.1200,0.766667,0.322008
3,3,0.18,0.1200,0.766667,0.322008
4,4,0.18,0.1200,0.766667,0.322008
3,2,0.54,0.1800,0.266667,0.321991
2,4,0.72,0.1800,0.400000,0.321982
4,1,0.26,0.1200,0.600000,0.320994
4,1,0.26,0.1500,0.400000,0.320984
3,2,0.54,0.2100,0.266667,0.320726
3,2,0.26,0.2100,0.366667,0.31935
2,4,0.26,0.2100,0.666667,0.319251
2,2,0.36,0.1800,0.600000,0.319156
3,3,0.36,0.1800,0.600000,0.319156
4,4,0.36,0.1800,0.600000,0.319156
4,3,0.18,0.1500,0.766667,0.319068
3,2,0.26,0.1800,0.366667,0.318883
4,1,0.26,0.1500,0.600000,0.318627
3,1,0.18,0.1200,0.666667,0.318251
3,1,0.18,0.1500,0.433333,0.318215
4,3,0.18,0.1800,0.700000,0.318134
3,1,0.36,0.1800,0.400000,0.316841
3,1,0.26,0.1800,0.600000,0.316785
4,3,0.36,0.2100,0.600000,0.316491
3,4,0.26,0.2100,0.666667,0.316408
2,2,0.54,0.1500,0.466667,0.316315
3,3,0.54,0.1500,0.466667,0.316315
4,4,0.54,0.1500,0.466667,0.316315
3,1,0.26,0.1200,0.433333,0.316228
3,1,0.18,0.1800,0.633333,0.316145
2,1,0.18,0.1200,0.466667,0.316013
4,2,0.18,0.1200,0.466667,0.316013
3,2,0.36,0.1200,0.400000,0.315934
2,1,0.36,0.1800,0.533333,0.315745
4,2,0.36,0.1800,0.533333,0.315745
2,3,0.72,0.2100,0.266667,0.315353
3,4,0.18,0.2100,0.733333,0.31501
3,4,0.54,0.1800,0.266667,0.314552
2,4,0.26,0.1800,0.700000,0.314092
2,1,0.26,0.1500,0.400000,0.31363
4,2,0.26,0.1500,0.400000,0.31363
3,2,0.26,0.2100,0.633333,0.313533
3,1,0.26,0.1200,0.600000,0.313106
2,1,0.26,0.1200,0.466667,0.312884
3,4,0.18,0.1200,0.833333,0.312531
2,4,0.36,0.2100,0.300000,0.312517
3,4,0.18,0.1200,0.433333,0.31251
3,1,0.26,0.1500,0.600000,0.312145
3,4,0.72,0.2100,0.400000,0.311946
2,2,0.26,0.1200,0.400000,0.311754
3,3,0.26,0.1200,0.400000,0.311754
4,4,0.26,0.1200,0.400000,0.311754
2,3,0.26,0.1500,0.733333,0.311588
2,2,0.26,0.1200,0.733333,0.311429
3,3,0.26,0.1200,0.733333,0.311429
4,4,0.26,0.1200,0.733333,0.311429
4,3,0.36,0.1200,0.600000,0.311203
4,3,0.54,0.1500,0.466667,0.311181
2,1,0.18,0.2100,0.600000,0.310447
4,2,0.18,0.2100,0.600000,0.310447
3,4,0.18,0.2100,0.366667,0.309413
2,1,0.18,0.1200,0.666667,0.309227
4,2,0.18,0.1200,0.666667,0.309227
3,4,0.72,0.1500,0.400000,0.309138
4,3,0.26,0.2100,0.633333,0.309024
2,2,0.36,0.1200,0.366667,0.308694
3,3,0.36,0.1200,0.366667,0.308694
4,4,0.36,0.1200,0.366667,0.308694
4,3,0.36,0.1800,0.300000,0.308456
2,3,0.72,0.1800,0.266667,0.308328
2,4,0.18,0.1800,0.766667,0.307928
2,3,0.18,0.2100,0.733333,0.307886
3,2,0.54,0.1500,0.466667,0.307606
2,4,0.18,0.1200,0.833333,0.30722
4,3,0.18,0.2100,0.666667,0.306881
3,1,0.26,0.1500,0.400000,0.306619
2,1,0.72,0.2100,0.300000,0.305997
3,2,0.18,0.1200,0.466667,0.305969
4,3,0.18,0.1200,0.800000,0.305346
3,4,0.18,0.1800,0.366667,0.304888
2,2,0.18,0.1500,0.766667,0.304658
3,3,0.18,0.1500,0.766667,0.304658
4,4,0.18,0.1500,0.766667,0.304658
2,2,0.72,0.1500,0.266667,0.304282
3,3,0.72,0.1500,0.266667,0.304282
4,4,0.72,0.1500,0.266667,0.304282
3,2,0.72,0.1500,0.400000,0.304241
2,1,0.54,0.1200,0.366667,0.304132
4,2,0.54,0.1200,0.366667,0.304132
2,1,0.18,0.1800,0.633333,0.303794
4,2,0.18,0.1800,0.633333,0.303794
2,1,0.18,0.1500,0.433333,0.303503
4,2,0.18,0.1500,0.433333,0.303503
3,2,0.36,0.1200,0.600000,0.302479
4,1,0.18,0.2100,0.400000,0.302331
2,1,0.72,0.1500,0.300000,0.30196
4,2,0.72,0.1500,0.300000,0.30196
4,3,0.72,0.1500,0.400000,0.301803
3,4,0.72,0.1200,0.400000,0.301632
3,4,0.54,0.2100,0.266667,0.301524
2,4,0.72,0.1500,0.400000,0.301345
2,1,0.26,0.1200,0.433333,0.301029
3,1,0.72,0.1200,0.400000,0.300859
2,3,0.54,0.1800,0.266667,0.300732
3,4,0.18,0.1500,0.800000,0.300466
2,3,0.18,0.1200,0.833333,0.300285
4,1,0.18,0.1500,0.666667,0.300237
2,1,0.36,0.1500,0.366667,0.300219
4,2,0.36,0.1500,0.366667,0.300219
3,2,0.18,0.1200,0.666667,0.300079
4,1,0.36,0.1500,0.400000,0.299815
3,1,0.72,0.2100,0.366667,0.299024
2,1,0.26,0.2100,0.633333,0.298307
4,2,0.26,0.2100,0.633333,0.298307
3,2,0.18,0.2100,0.600000,0.298055
3,1,0.18,0.2100,0.400000,0.297427
2,2,0.72,0.1500,0.400000,0.296941
3,3,0.72,0.1500,0.400000,0.296941
4,4,0.72,0.1500,0.400000,0.296941
2,2,0.26,0.2100,0.666667,0.296804
3,3,0.26,0.2100,0.666667,0.296804
4,4,0.26,0.2100,0.666667,0.296804
3,4,0.26,0.1500,0.733333,0.296751
2,4,0.26,0.1500,0.333333,0.296702
4,3,0.54,0.2100,0.466667,0.29653
2,3,0.72,0.1500,0.400000,0.29636
2,4,0.18,0.1500,0.800000,0.295923
4,1,0.54,0.1200,0.400000,0.29588
4,1,0.18,0.1800,0.400000,0.295527
2,1,0.26,0.1200,0.600000,0.294983
4,1,0.54,0.1800,0.366667,0.294599
3,1,0.18,0.1500,0.666667,0.294579
4,4,0.72,0.1200,0.400000,0.294477
2,3,0.26,0.2100,0.700000,0.294071
2,2,0.72,0.1200,0.400000,0.293836
3,3,0.72,0.1200,0.400000,0.293836
2,2,0.72,0.2100,0.400000,0.293807
3,3,0.72,0.2100,0.400000,0.293807
4,4,0.72,0.2100,0.400000,0.293807
3,4,0.18,0.1800,0.766667,0.293353
4,3,0.18,0.1500,0.800000,0.293271
3,2,0.18,0.1500,0.433333,0.292777
3,2,0.18,0.1800,0.633333,0.291885
3,1,0.54,0.1500,0.433333,0.291541
4,3,0.36,0.2100,0.300000,0.291307
4,3,0.36,0.1500,0.333333,0.2912
2,1,0.72,0.1200,0.366667,0.291181
4,2,0.72,0.1200,0.366667,0.291181
4,3,0.72,0.1800,0.400000,0.291023
4,1,0.54,0.2100,0.366667,0.290845
3,1,0.18,0.1800,0.400000,0.290502
2,3,0.54,0.2100,0.266667,0.289836
3,1,0.36,0.1500,0.400000,0.289821
2,1,0.36,0.1800,0.333333,0.289717
4,2,0.36,0.1800,0.333333,0.289717
2,3,0.54,0.1200,0.333333,0.289707
2,1,0.54,0.1500,0.800000,0.289502
2,3,0.18,0.1500,0.800000,0.289502
4,3,0.18,0.2100,0.400000,0.289376
2,3,0.72,0.1800,0.400000,0.289137
2,4,0.54,0.2100,0.500000,0.289068
2,2,0.18,0.2100,0.700000,0.288731
3,3,0.18,0.2100,0.700000,0.288731
4,4,0.18,0.2100,0.700000,0.288731
2,2,0.18,0.1200,0.800000,0.288634
3,3,0.18,0.1200,0.800000,0.288634
4,4,0.18,0.1200,0.800000,0.288634
2,1,0.18,0.2100,0.400000,0.288622
4,2,0.18,0.2100,0.400000,0.288622
4,2,0.54,0.1500,0.466667,0.288273
2,1,0.36,0.1200,0.400000,0.287971
4,2,0.36,0.1200,0.400000,0.287971
2,2,0.36,0.1500,0.600000,0.28776
3,3,0.36,0.1500,0.600000,0.28776
4,4,0.36,0.1500,0.600000,0.28776
4,1,0.26,0.1200,0.633333,0.287194
2,4,0.54,0.1200,0.333333,0.286902
3,3,0.72,0.1800,0.266667,0.286385
4,1,0.26,0.1500,0.633333,0.286253
2,4,0.18,0.2100,0.766667,0.286235
3,4,0.18,0.1200,0.866667,0.285887
2,4,0.36,0.1500,0.300000,0.285696
3,4,0.72,0.1500,0.266667,0.285586
4,1,0.54,0.1500,0.366667,0.285385
3,1,0.72,0.1500,0.400000,0.285329
4,1,0.36,0.1800,0.366667,0.284936
2,3,0.18,0.1800,0.766667,0.28465
4,3,0.18,0.1800,0.733333,0.28442
4,3,0.54,0.1800,0.466667,0.284014
2,1,0.18,0.1500,0.666667,0.283573
4,2,0.18,0.1500,0.666667,0.283573
2,4,0.18,0.1200,0.866667,0.283522
2,2,0.72,0.1800,0.400000,0.283067
4,4,0.72,0.1800,0.400000,0.283067
2,1,0.18,0.1800,0.400000,0.282931
4,2,0.18,0.1800,0.400000,0.282931
2,4,0.26,0.2100,0.700000,0.282872
4,3,0.26,0.1200,0.400000,0.282784
3,1,0.54,0.1800,0.333333,0.282766
4,3,0.26,0.1500,0.700000,0.282644
4,1,0.26,0.1800,0.366667,0.282584
4,3,0.18,0.1800,0.400000,0.282292
2,2,0.18,0.1800,0.733333,0.282244
3,3,0.18,0.1800,0.733333,0.282244
3,2,0.36,0.1800,0.300000,0.282244
4,4,0.18,0.1800,0.733333,0.282244
2,4,0.26,0.1800,0.733333,0.282105
4,3,0.26,0.1500,0.366667,0.281414
3,1,0.26,0.1200,0.633333,0.281143
4,3,0.54,0.1500,0.300000,0.280175
2,1,0.72,0.1200,0.400000,0.279801
4,2,0.72,0.1200,0.400000,0.279801
4,1,0.18,0.2100,0.633333,0.279688
3,4,0.54,0.1200,0.333333,0.279623
3,4,0.72,0.1800,0.400000,0.279369
4,1,0.36,0.2100,0.366667,0.279256
2,2,0.18,0.1500,0.400000,0.278775
3,3,0.18,0.1500,0.400000,0.278775
4,4,0.18,0.1500,0.400000,0.278775
3,2,0.18,0.2100,0.400000,0.278754
2,1,0.54,0.1800,0.266667,0.278011
4,2,0.54,0.1800,0.266667,0.278011
3,4,0.26,0.2100,0.700000,0.27694
2,1,0.36,0.2100,0.333333,0.276587
4,2,0.36,0.2100,0.333333,0.276587
4,1,0.26,0.2100,0.366667,0.2762
2,4,0.54,0.1200,0.500000,0.275689
4,1,0.18,0.1200,0.700000,0.275519
3,2,0.54,0.2100,0.466667,0.27549
3,1,0.26,0.1500,0.633333,0.275386
3,1,0.36,0.1800,0.366667,0.275332
4,1,0.54,0.1200,0.433333,0.275235
2,1,0.72,0.1500,0.400000,0.275069
4,2,0.72,0.1500,0.400000,0.275069
3,2,0.18,0.1800,0.400000,0.274932
2,4,0.36,0.1200,0.633333,0.274768
3,1,0.26,0.1800,0.366667,0.274499
3,1,0.54,0.2100,0.333333,0.274284
4,3,0.18,0.1200,0.833333,0.274203
2,3,0.18,0.1200,0.866667,0.27404
4,3,0.36,0.1200,0.366667,0.273981
2,3,0.36,0.1500,0.300000,0.27394
2,2,0.18,0.1500,0.800000,0.273939
3,3,0.18,0.1500,0.800000,0.273939
4,4,0.18,0.1500,0.800000,0.273939
4,1,0.18,0.1800,0.666667,0.273927
3,2,0.36,0.1500,0.333333,0.273826
3,2,0.18,0.1500,0.666667,0.273242
3,1,0.18,0.2100,0.633333,0.272466
3,2,0.72,0.1800,0.400000,0.271423
2,3,0.26,0.1800,0.733333,0.271142
3,2,0.72,0.2100,0.233333,0.270901
4,3,0.72,0.2100,0.400000,0.270544
2,2,0.18,0.1200,0.433333,0.270464
3,3,0.18,0.1200,0.433333,0.270464
4,4,0.18,0.1200,0.433333,0.270464
3,1,0.18,0.1200,0.700000,0.270366
3,1,0.36,0.2100,0.366667,0.270039
2,4,0.54,0.1800,0.500000,0.269981
3,2,0.36,0.1200,0.366667,0.26995
4,1,0.36,0.1800,0.333333,0.26986
3,2,0.26,0.2100,0.666667,0.269811
2,3,0.54,0.2100,0.500000,0.269625
2,1,0.54,0.1200,0.466667,0.269199
4,2,0.54,0.1200,0.466667,0.269199
4,3,0.18,0.2100,0.700000,0.269146
2,3,0.36,0.1200,0.633333,0.268766
3,1,0.36,0.2100,0.500000,0.268454
2,4,0.18,0.1800,0.800000,0.26828
2,2,0.54,0.1200,0.333333,0.268275
3,3,0.54,0.1200,0.333333,0.268275
4,3,0.54,0.1200,0.333333,0.268275
4,4,0.54,0.1200,0.333333,0.268275
2,4,0.26,0.1200,0.766667,0.26789
3,2,0.26,0.1200,0.400000,0.267794
3,2,0.72,0.1200,0.400000,0.267759
3,1,0.18,0.1800,0.666667,0.267569
3,1,0.26,0.2100,0.366667,0.26732
3,4,0.18,0.2100,0.766667,0.267191
