N,D,sigma,tau,omega,Cp*
4,3,0.36,0.1200,0.500000,0.487638
2,4,0.18,0.1200,0.600000,0.48749
3,4,0.36,0.1500,0.566667,0.487384
2,2,0.36,0.1200,0.433333,0.487331
3,3,0.36,0.1200,0.433333,0.487331
4,4,0.36,0.1200,0.433333,0.487331
3,2,0.26,0.1800,0.466667,0.487244
3,4,0.26,0.1500,0.500000,0.48704
4,3,0.18,0.1500,0.466667,0.487029
4,1,0.54,0.1800,0.400000,0.48691
3,2,0.54,0.2100,0.333333,0.486827
2,2,0.36,0.1200,0.466667,0.486572
3,3,0.36,0.1200,0.466667,0.486572
3,4,0.54,0.1200,0.400000,0.486572
4,4,0.36,0.1500,0.466667,0.486572
2,4,0.36,0.2100,0.366667,0.486432
3,2,0.72,0.2100,0.300000,0.486273
2,2,0.54,0.1800,0.333333,0.485923
4,4,0.54,0.1800,0.333333,0.485923
3,1,0.18,0.1200,0.566667,0.485898
3,2,0.36,0.1200,0.500000,0.48572
2,2,0.36,0.1500,0.366667,0.485714
3,3,0.36,0.1500,0.366667,0.485714
4,4,0.36,0.1500,0.366667,0.485714
2,2,0.36,0.1800,0.566667,0.485379
3,3,0.36,0.1800,0.566667,0.485379
4,4,0.36,0.1800,0.566667,0.485379
4,3,0.36,0.2100,0.466667,0.485372
3,1,0.26,0.2100,0.433333,0.48525
3,2,0.26,0.1500,0.433333,0.485114
2,4,0.26,0.2100,0.466667,0.485094
3,2,0.72,0.1800,0.300000,0.484968
3,4,0.18,0.1800,0.566667,0.484882
2,4,0.26,0.1800,0.466667,0.484546
2,2,0.36,0.1200,0.433333,0.484461
3,3,0.36,0.2100,0.433333,0.484461
4,3,0.36,0.2100,0.466667,0.484461
4,4,0.36,0.2100,0.433333,0.484461
2,2,0.36,0.2100,0.333333,0.484431
3,3,0.36,0.2100,0.333333,0.484431
4,4,0.36,0.2100,0.333333,0.484431
3,4,0.36,0.1500,0.433333,0.484223
2,2,0.18,0.2100,0.533333,0.483982
3,3,0.18,0.2100,0.533333,0.483982
4,4,0.18,0.2100,0.533333,0.483982
2,4,0.36,0.1500,0.366667,0.483568
2,1,0.54,0.1200,0.400000,0.483518
4,2,0.54,0.1200,0.400000,0.483518
3,4,0.36,0.1500,0.500000,0.48345
2,2,0.54,0.2100,0.333333,0.483387
3,3,0.54,0.2100,0.333333,0.483387
4,4,0.54,0.2100,0.333333,0.483387
2,1,0.18,0.1200,0.533333,0.483331
4,2,0.18,0.1200,0.533333,0.483331
3,2,0.36,0.2100,0.500000,0.483299
3,4,0.54,0.1200,0.400000,0.482918
3,4,0.36,0.1800,0.433333,0.482787
2,3,0.26,0.1500,0.500000,0.482699
2,3,0.54,0.1800,0.433333,0.482438
3,4,0.36,0.2100,0.333333,0.482231
3,3,0.72,0.1800,0.433333,0.481997
4,3,0.72,0.2100,0.300000,0.481947
3,2,0.18,0.2100,0.500000,0.481939
2,3,0.18,0.1800,0.566667,0.481531
4,3,0.72,0.1800,0.300000,0.481372
4,3,0.36,0.1200,0.433333,0.481208
4,3,0.26,0.1500,0.500000,0.481194
3,4,0.36,0.1500,0.466667,0.48088
